,YEAR,STATE,COMMODITY,YIELD
591,2019,SOUTH DAKOTA,SOYBEANS,42.5
592,2020,SOUTH DAKOTA,SOYBEANS,46
593,2021,SOUTH DAKOTA,SOYBEANS,40
594,2022,SOUTH DAKOTA,SOYBEANS,43
595,2000,TENNESSEE,SOYBEANS,25
596,2001,TENNESSEE,SOYBEANS,34
597,2002,TENNESSEE,SOYBEANS,31
598,2003,TENNESSEE,SOYBEANS,42
599,2004,TENNESSEE,SOYBEANS,41
600,2005,TENNESSEE,SOYBEANS,38
601,2006,TENNESSEE,SOYBEANS,39
602,2007,TENNESSEE,SOYBEANS,19
603,2008,TENNESSEE,SOYBEANS,34
604,2009,TENNESSEE,SOYBEANS,45
605,2010,TENNESSEE,SOYBEANS,31
606,2011,TENNESSEE,SOYBEANS,32
607,2012,TENNESSEE,SOYBEANS,38
608,2013,TENNESSEE,SOYBEANS,46.5
609,2014,TENNESSEE,SOYBEANS,46
610,2015,TENNESSEE,SOYBEANS,46
611,2016,TENNESSEE,SOYBEANS,45
612,2017,TENNESSEE,SOYBEANS,50
613,2018,TENNESSEE,SOYBEANS,45.5
614,2019,TENNESSEE,SOYBEANS,47
615,2020,TENNESSEE,SOYBEANS,50
616,2021,TENNESSEE,SOYBEANS,50
617,2022,TENNESSEE,SOYBEANS,44
618,2000,TEXAS,SOYBEANS,27
619,2001,TEXAS,SOYBEANS,26
620,2002,TEXAS,SOYBEANS,28
621,2003,TEXAS,SOYBEANS,29
622,2004,TEXAS,SOYBEANS,32
623,2005,TEXAS,SOYBEANS,26
624,2006,TEXAS,SOYBEANS,24
625,2007,TEXAS,SOYBEANS,37.5
626,2008,TEXAS,SOYBEANS,24.5
627,2009,TEXAS,SOYBEANS,25.5
628,2010,TEXAS,SOYBEANS,30
629,2011,TEXAS,SOYBEANS,19
630,2012,TEXAS,SOYBEANS,26
631,2013,TEXAS,SOYBEANS,25.5
632,2014,TEXAS,SOYBEANS,38.5
633,2015,TEXAS,SOYBEANS,26
634,2016,TEXAS,SOYBEANS,31
635,2017,TEXAS,SOYBEANS,37
636,2018,TEXAS,SOYBEANS,31.5
637,2019,TEXAS,SOYBEANS,28
638,2020,TEXAS,SOYBEANS,34
639,2021,TEXAS,SOYBEANS,38
640,2022,TEXAS,SOYBEANS,30
641,2000,VIRGINIA,SOYBEANS,38.5
642,2001,VIRGINIA,SOYBEANS,35.5
643,2002,VIRGINIA,SOYBEANS,23
644,2003,VIRGINIA,SOYBEANS,34
645,2004,VIRGINIA,SOYBEANS,39
646,2005,VIRGINIA,SOYBEANS,30.5
647,2006,VIRGINIA,SOYBEANS,31
648,2007,VIRGINIA,SOYBEANS,27.5
649,2008,VIRGINIA,SOYBEANS,32
650,2009,VIRGINIA,SOYBEANS,37
651,2010,VIRGINIA,SOYBEANS,26
652,2011,VIRGINIA,SOYBEANS,40
653,2012,VIRGINIA,SOYBEANS,42
654,2013,VIRGINIA,SOYBEANS,38.5
655,2014,VIRGINIA,SOYBEANS,39.5
656,2015,VIRGINIA,SOYBEANS,34.5
657,2016,VIRGINIA,SOYBEANS,36
658,2017,VIRGINIA,SOYBEANS,44
659,2018,VIRGINIA,SOYBEANS,42
660,2019,VIRGINIA,SOYBEANS,34
661,2020,VIRGINIA,SOYBEANS,42
662,2021,VIRGINIA,SOYBEANS,46
663,2022,VIRGINIA,SOYBEANS,47
664,2000,WEST VIRGINIA,SOYBEANS,47
665,2001,WEST VIRGINIA,SOYBEANS,42
666,2002,WEST VIRGINIA,SOYBEANS,37
667,2003,WEST VIRGINIA,SOYBEANS,41
668,2004,WEST VIRGINIA,SOYBEANS,46
669,2005,WEST VIRGINIA,SOYBEANS,35
670,2006,WEST VIRGINIA,SOYBEANS,42
671,2007,WEST VIRGINIA,SOYBEANS,33
672,2008,WEST VIRGINIA,SOYBEANS,41
673,2009,WEST VIRGINIA,SOYBEANS,41
674,2010,WEST VIRGINIA,SOYBEANS,30
675,2011,WEST VIRGINIA,SOYBEANS,43
676,2012,WEST VIRGINIA,SOYBEANS,49
677,2013,WEST VIRGINIA,SOYBEANS,46.5
678,2014,WEST VIRGINIA,SOYBEANS,51
679,2015,WEST VIRGINIA,SOYBEANS,48
680,2016,WEST VIRGINIA,SOYBEANS,51
681,2017,WEST VIRGINIA,SOYBEANS,54
682,2018,WEST VIRGINIA,SOYBEANS,53
683,2000,WISCONSIN,SOYBEANS,40
684,2001,WISCONSIN,SOYBEANS,37
685,2002,WISCONSIN,SOYBEANS,44
686,2003,WISCONSIN,SOYBEANS,28
687,2004,WISCONSIN,SOYBEANS,34.5
688,2005,WISCONSIN,SOYBEANS,44
689,2006,WISCONSIN,SOYBEANS,44
690,2007,WISCONSIN,SOYBEANS,40.5
691,2008,WISCONSIN,SOYBEANS,35
692,2009,WISCONSIN,SOYBEANS,40
693,2010,WISCONSIN,SOYBEANS,50.5
694,2011,WISCONSIN,SOYBEANS,47
695,2012,WISCONSIN,SOYBEANS,42
696,2013,WISCONSIN,SOYBEANS,39
697,2014,WISCONSIN,SOYBEANS,44
698,2015,WISCONSIN,SOYBEANS,49.5
699,2016,WISCONSIN,SOYBEANS,55
700,2017,WISCONSIN,SOYBEANS,47.5
701,2018,WISCONSIN,SOYBEANS,48
702,2019,WISCONSIN,SOYBEANS,47
703,2020,WISCONSIN,SOYBEANS,52
704,2021,WISCONSIN,SOYBEANS,55
705,2022,WISCONSIN,SOYBEANS,52
